,Player,Nation,Team,Comp,Pos,90s,Age,Ast,G+A,G-PK,G/Sh,G/SoT,Gls/90,Int/90,MP,Min,PK,PKatt,PKm,Sh/90,SoT%,SoT/90,Starts,Subs,TklW/90,unSub,Gls,Int,Sh,SoT
0,Macaulay Langstaff,England,Notts County,eng League Two,FWMF,30.05,26.5,0.1,0.44999999999999996,0.3,0.09000000000000001,0.22499999999999998,0.35,0.15000000000000002,40.0,2706.5,0.05,0.05,0.0,2.7,40.05,1.05,30.0,10.0,0.25,1.5,0.1,0.1,1.6,0.6
1,Sammie Szmodics,Republic of Ireland,Blackburn Rovers,eng Championship,MFFW,27.299999999999997,27.5,0.1,0.6,0.5,0.21000000000000002,0.42000000000000004,0.5,0.4,32.5,2458.5,0.0,0.0,0.0,2.5999999999999996,50.2,1.25,28.5,4.0,0.75,1.0,0.4,0.4,1.9,1.1
2,Alfie May,England,Charlton Athletic,eng League One,FWMF,32.25,30.5,0.15,0.75,0.5,0.16499999999999998,0.385,0.6,0.15000000000000002,43.5,2901.5,0.1,0.1,0.0,3.2,41.95,1.35,33.5,10.0,0.4,1.0,0.6,0.2,2.7,1.3
3,Davis Keillor-Dunn,England,Mansfield Town,eng League Two,MFFW,39.85,25.5,0.15000000000000002,0.65,0.5,0.15000000000000002,0.375,0.5,0.44999999999999996,45.5,3587.0,0.0,0.0,0.0,3.4,40.85,1.4,42.5,3.0,0.7,0.0,0.4,0.3,2.5,1.0
4,Kévin Denkey,Togo,Cercle Brugge,be Belgian Pro League,FW,26.1,22.5,0.05,0.75,0.6,0.16499999999999998,0.41000000000000003,0.7,0.05,27.5,2348.5,0.1,0.1,0.0,3.8,40.7,1.55,26.0,1.5,0.35,0.0,0.7,0.0,3.4,1.6
5,Henk Veerman,Netherlands,ADO Den Haag,nl Eerste Divisie,FW,35.3,30.5,0.2,0.9,0.6,0.20500000000000002,0.465,0.7,0.1,37.5,3178.0,0.05,0.05,0.0,3.1,44.7,1.4,36.5,1.0,0.2,0.0,0.8,0.1,3.2,1.4
6,Lawrence Shankland,Scotland,Hearts,sct Scottish Premiership,FW,32.35,27.5,0.2,0.7,0.44999999999999996,0.11499999999999999,0.33999999999999997,0.5,0.2,34.5,2912.5,0.05,0.1,0.05,3.55,34.7,1.25,32.5,2.0,0.4,0.0,0.3,0.3,3.3,1.1
7,Alexandre Mendy,Guinea-Bissau,Caen,fr Ligue 2,FW,32.15,29.5,0.05,0.5,0.35,0.125,0.295,0.44999999999999996,0.15000000000000002,33.5,2894.0,0.05,0.1,0.05,2.8499999999999996,42.4,1.2000000000000002,32.5,1.0,0.25,0.0,0.3,0.1,2.9,1.1
8,Paul Mullin,England,Wrexham,eng League Two,FW,23.099999999999998,28.5,0.1,0.55,0.4,0.11,0.245,0.44999999999999996,0.1,32.0,2081.0,0.05,0.05,0.0,3.7,40.95,1.5,21.5,10.5,0.45,1.0,0.2,0.0,4.0,1.4
9,Vangelis Pavlidis,Greece,AZ Alkmaar,nl Eredivisie,FW,29.2,24.5,0.2,1.0,0.7,0.21000000000000002,0.435,0.8500000000000001,0.15000000000000002,34.0,2626.0,0.05,0.05,0.0,3.45,48.2,1.7,30.5,3.5,0.55,0.0,0.8,0.2,3.3,1.5
