Rk,Player,Gls/90,SoT/90,Sh/90,TklW/90,Int/90,Tkl+Int/90,G/Sh,G/SoT,SoT%,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,TklW,Int,Tkl+Int,Sh,G/Sh,G/SoT,SoT,SoT%,FK,Pos,-9999
1,Viktor Gyökeres,1.3,2.6,4.5,0.2,0.2,0.0,0.19,0.34,57.6,2024-2025,26,se SWE,Sporting CP,pt Primeira Liga,33,2804,31.2,31,2,0,1.3,0.2,1.5,0.9,0.4,0.4,0.0,0.2,0.2,0.0,4.5,0.19,0.34,2.6,57.6,,FW,4d5a9185
2,Alexander Sørloth,1.1,2.4,4.5,0.3,0.1,0.0,0.24,0.45,53.2,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1566,17.4,15,20,2,1.1,0.1,1.3,1.1,0.1,0.1,0.0,0.3,0.1,0.0,4.5,0.24,0.45,2.4,53.2,,FW,e92cd3f7
3,Patrik Schick,1.1,1.8,3.6,0.3,0.2,0.0,0.29,0.59,50.0,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1684,18.7,19,12,2,1.1,0.0,1.1,1.1,0.1,0.1,0.0,0.3,0.2,0.0,3.6,0.29,0.59,1.8,50.0,,FW,5d4f7d61
4,Ousmane Dembélé,1.1,2.7,5.0,0.3,0.5,0.0,0.21,0.39,52.6,2024-2025,27,fr FRA,Paris Saint-Germain,fr Ligue 1,29,1730,19.2,20,9,1,1.1,0.3,1.4,1.0,0.1,0.1,0.0,0.3,0.5,0.0,5.0,0.21,0.39,2.7,52.6,,FW,b19db005
5,Jan Kliment,1.1,1.5,2.8,0.4,0.2,0.0,0.27,0.52,52.1,2024-2025,30,cz CZE,Sigma Olomouc,cz Czech First League,21,1529,17.0,19,2,1,1.1,0.1,1.2,0.8,0.3,0.3,0.0,0.4,0.2,0.0,2.8,0.27,0.52,1.5,52.1,,FW,c2a30c01
6,Dániel Böde,1.0,1.7,3.5,0.1,0.2,0.0,0.25,0.54,47.1,2024-2025,37,hu HUN,Paks,hu NB I,32,1296,14.4,8,24,0,1.0,0.0,1.0,0.9,0.1,0.1,0.0,0.1,0.2,0.0,3.5,0.25,0.54,1.7,47.1,,FW,17f66244
7,Eli Junior Kroupi,1.0,1.8,4.0,0.4,0.5,0.0,0.20,0.45,44.2,2024-2025,18,fr FRA,Lorient,fr Ligue 2,30,1918,21.3,23,7,0,1.0,0.1,1.1,0.8,0.2,0.2,0.0,0.4,0.5,0.0,4.0,0.20,0.45,1.8,44.2,,FWMF,b2fe86e5
8,Davie Selke,1.0,2.0,3.9,0.1,0.1,0.0,0.23,0.44,51.2,2024-2025,29,de GER,Hamburger SV,de 2. Bundesliga,31,1925,21.4,22,9,0,1.0,0.0,1.0,0.9,0.1,0.2,0.0,0.1,0.1,0.0,3.9,0.23,0.44,2.0,51.2,,FW,1238a3f9
9,Alaeddine Ajaraie,1.0,2.0,5.7,0.5,0.3,0.0,0.16,0.46,35.4,2024-2025,31,ma MAR,NorthEast United,in Indian Super League,24,2055,22.8,23,1,0,1.0,0.3,1.3,0.9,0.1,0.2,0.1,0.5,0.3,0.0,5.7,0.16,0.46,2.0,35.4,,FWMF,f9182945
10,Victor Osimhen,1.0,2.2,5.2,0.2,0.3,0.0,0.15,0.35,41.6,2024-2025,25,ng NGA,Galatasaray,tr Süper Lig,30,2372,26.4,28,2,0,1.0,0.2,1.2,0.8,0.2,0.2,0.0,0.2,0.3,0.0,5.2,0.15,0.35,2.2,41.6,,FW,8c90fd7a
11,Harry Kane,1.0,2.0,4.3,0.4,0.2,0.0,0.15,0.31,47.4,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2381,26.5,28,3,0,1.0,0.3,1.3,0.6,0.3,0.3,0.0,0.4,0.2,0.0,4.3,0.15,0.31,2.0,47.4,,FW,21a66f6a
12,Sambou Soumano,1.0,1.6,2.9,0.1,0.1,0.0,0.24,0.43,54.8,2024-2025,23,sn SEN,Lorient,fr Ligue 2,31,1290,14.3,11,20,2,1.0,0.2,1.2,0.7,0.3,0.3,0.0,0.1,0.1,0.0,2.9,0.24,0.43,1.6,54.8,,FW,7cc00776
