full_name,position_group,actual_value,predicted_value,boosted_meta_pred,neural_meta_pred,abs_pct_error
Nikolaos Athanasiou,DEF,1150000.0000000005,1689691.9434483654,1694799.7862727034,1115149.9600451365,46.92973421290128
Reda Laalaoui,MID,787499.9999999994,601924.3906906851,598082.556684227,1453417.5021906095,23.56515673769072
Tjaronn Chery,MID,950000.0000000008,820793.5608255804,824955.1917513424,409110.62115256465,13.60067780783372
Joe Rothwell,MID,2250000.000000001,1868525.2719837266,1873113.5135235651,1333085.336957914,16.95443235627885
Darko Churlinov,MID,1550000.0000000012,1626292.0219690655,1652487.4878744802,180209.53586430312,4.92206593348802
Zié Ouattara,DEF,775000.0000000007,1137612.135516931,1131999.0002928802,2247733.514350734,46.78866264734582
Juan Manuel García,FWD,825000.0000000006,1365212.2567064676,1365297.1269232766,1353577.9318377464,65.48027354017776
Eddy Sylvestre,MID,662499.9999999998,576352.7798291518,579181.1851885897,293753.3682730713,13.003353988052528
Philippe Rommens,MID,2550000.0,1739344.1297909445,1747391.7596606335,921251.4426281259,31.790426282708058
Joe Worrall,DEF,3299999.9999999986,3987323.515056156,3959650.5463653672,10401514.695649488,20.827985304732056
Chemsdine Talbi,MID,12249999.999999987,23339466.09197763,23379533.96634769,18430280.24810784,90.52625381206248
Khalis Merah,MID,4700000.000000004,3896395.626552433,3887350.478203951,5365691.217604764,17.097965392501496
Filippo Bandinelli,MID,2000000.0000000016,1582144.108223207,1583393.8679037807,1419169.6585150938,20.89279458883971
Gvidas Gineitis,MID,2349999.999999999,3474721.0981300566,3441911.8261279734,12828377.93186943,47.860472260853534
True Grant,GK,487499.9999999996,293680.69541173073,292087.45138834923,621059.7711764838,39.757806069388515
Dorukhan Toköz,DEF,1550000.0000000012,1621730.0847127913,1552063.620972427,684412208.3585716,4.627747400825164
Jan Bednarek,DEF,15000000.00000001,11186828.261667164,11052895.800124949,58731727.8133978,25.421144922218954
Mark Gillespie,GK,139999.9999999999,192069.20462848266,192094.9975269529,188551.01481149535,37.19228902034485
Matthias Köbbing,GK,77500.00000000006,149325.780014782,148229.6445137518,411772.41687643406,92.67842582552503
Uroš Radaković,DEF,775000.0000000007,767899.1121303744,769313.9801835935,595988.9983164846,0.91624359608081
Daouda Weidmann,MID,1299999.9999999993,1334283.5570524186,1334933.5005735208,1247757.1464247964,2.637196696339947
Matte Smets,DEF,14250000.000000017,15646495.270586425,15553585.824529368,35523894.04038946,9.79996681113268
Mor Ndiaye,MID,587500.0000000002,596183.7149935028,599541.495809273,275150.5425849824,1.4780791478302284
Jack Vale,MID,649999.9999999995,641670.3018493806,643578.0879181897,426388.60429817054,1.2814920231721445
Gianluca Prestianni,MID,7199999.9999999935,4288536.812627256,4310585.205088343,2116865.5420380183,40.43698871351028
Mohamed Daramy,MID,6849999.999999996,4948326.361162204,4954982.190460953,4112335.7083155727,27.761658961135666
Moritz-Broni Kwarteng,MID,1249999.999999999,1305937.285843326,1307234.5917762902,1139082.8019594508,4.474982867466159
Kiril Despodov,MID,6749999.999999997,6571236.907651529,6553105.31493628,9612902.119213525,2.648342108866201
Callum Hudson-Odoi,MID,24500000.000000007,23575318.48995406,23471719.50339854,43229893.6200598,3.7742102450854915
Mamadou Fall,MID,1200000.0000000005,1247810.855286666,1263050.6596001207,234596.43676634738,3.984237940555456
Patrick Roberts,MID,2800000.000000002,2908116.0983598083,2895113.2388414843,5389564.113226916,3.8612892271359422
Tom Bradbury,DEF,237499.99999999983,278266.4120834276,274485.6417620326,1829829.301581322,17.164805087759074
Kaan Kairinen,MID,3850000.0000000005,4516151.304298806,4475112.144859607,15870517.559512997,17.302631280488452
Fabijan Buntić,GK,600000.0000000003,525143.8604834381,525752.5110649946,447732.7227339097,12.476023252760363
Franco Mastantuono,MID,36000000.000000045,33181579.020800494,32637258.26766826,323498465.4687506,7.828947164443188
