player_id,player_name,position_group,actual_value,predicted_value_mean,predicted_value_median,predicted_value_std
aaron anselmino__2005-04-29,Aaron Anselmino,DEF,5750000.000000004,10744978.861699255,11033178.219574407,1696273.2085133095
aaron bouwman__2007-08-28,,,,2538524.783420843,2538524.783420843,492818.29118637816
aaron connolly__2000-01-28,,,,1638650.1239935597,1638650.1239935597,
aaron cresswell__1989-12-15,,,,973052.5138023242,973052.5138023242,243819.07555832516
aaron donnelly__2003-06-08,,,,536409.6181658563,556030.5290587298,66592.9822993879
aaron escandell__1995-09-27,,,,6509879.710530616,6654040.628675211,638170.6044489979
aaron hickey__2002-06-10,Aaron Hickey,DEF,11749999.999999994,9555123.146337776,9504268.172195824,745853.154238406
aaron mceneff__1995-07-09,,,,238891.78035337414,237758.32302956766,8655.8344784212
aaron mcgowan__1996-07-24,,,,465297.323983588,465297.323983588,
aaron meijers__1987-10-28,,,,139378.7808498429,140511.37086348195,9768.54103324414
aaron nemane__1997-09-26,,,,318432.7988218065,343117.3288994301,51328.48511090042
aaron ramsdale__1998-05-14,,,,10481452.448939588,10481452.448939588,241341.66115776016
aaron ramsey__2003-01-21,Aaron Ramsey,MID,9299999.999999993,3858184.5034047985,3897227.1798809124,357247.3092181098
aaron rowe__2000-09-07,,,,283848.23394086404,275902.30292769097,36189.397029199885
aaron wanbissaka__1997-11-26,Aaron Wan-Bissaka,DEF,18500000.000000034,20560912.377127387,20464882.427759197,2060217.9219828483
aaron zehnter__2004-10-31,,,,5589090.249238358,5563985.102660862,633360.5841935617
abakar sylla__2002-12-25,,,,3662963.5573889674,3816874.8278606785,282723.7928165823
abbosbek fayzullaev__2003-10-03,,,,937042.2367619564,937042.2367619564,
abdallah sima__2001-06-17,,,,6956496.464348596,7313754.578720209,694952.698463258
abdelhamid ait boudlal__2006-04-16,,,,3737429.006704321,3645823.3539436143,487792.33509486495
abdelhamid sabiri__1996-11-28,Abdelhamid Sabiri,MID,2649999.999999999,4070998.5923115015,4030289.4075852707,407501.05972077063
abdelkahar kadri__2000-06-24,,,,6400138.0950794825,6023449.567267915,821479.1802129296
abdellah baallal__2004-11-07,Abdellah Baallal,MID,299999.99999999977,407058.6325341011,407208.0117745508,16435.276288952526
abdellah zoubir__1991-12-05,,,,919824.6782269812,942613.4582818599,259804.40867805333
abdenego nankishi__2002-07-06,,,,558516.5722694047,585367.0282196247,96369.00360540867
abdou harroui__1998-01-13,,,,2774511.6207963703,2774511.6207963703,
abdoul kader ouattara__2005-05-26,Abdoul Kader Ouattara,MID,950000.0000000008,881967.5181845023,886012.3690766621,15451.303559892067
abdoul ouattara__2005-10-22,,,,3692560.2494055447,3811702.350014283,410237.2290137225
abdoulaye bamba__1990-04-25,Abdoulaye Bamba,DEF,337500.00000000006,384183.114854843,373195.59740561194,23501.224534785724
abdoulaye camara__2006-12-21,,,,881792.1857500374,881792.1857500374,169257.14003795965
abdoulaye doucoure__1993-01-01,Abdoulaye Doucouré,MID,6650000.000000001,4650459.128053819,4688587.841749849,334919.60355660255
abdoulaye faye__2004-09-22,,,,2889607.923131889,2889607.923131889,
abdoulaye kamara__2004-11-06,,,,706213.6715496927,718666.5975736476,32495.620594106316
abdoulaye ndiaye__2002-04-10,Abdoulaye Ndiaye,DEF,6500000.0,6839808.783363707,6802575.670150066,254013.0090905354
abdoulaye toure__1994-03-03,,,,3262168.758375523,3225985.505463064,317940.6070067739
abdoulie sanyang__1999-05-08,,,,1289552.1098904763,1289552.1098904763,136362.86370110128
abdoullah ba__2003-07-31,,,,1117296.2398576934,1117296.2398576934,111610.83228105596
abdukodir khusanov__2004-02-29,,,,30775766.088046093,33633219.88831319,7246348.217595048
abdul fatawu__2004-03-08,,,,12295141.42498781,12295141.42498781,901680.673291781
abdul mumin__1998-06-06,,,,11140588.562711773,11258590.190773001,975112.1455838184
abdulkadir omur__1999-06-25,,,,2621068.0973093514,2651762.3150302316,608718.6301827256
