,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min▼,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
1,Macaulay Langstaff,0.6,1.5,3.8,0.14,0.35,0.2,0.2,2023-2024,26,eng ENG,Notts County,eng League Two,46,4025,44.7,46,0,0,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.2,0.2,0.0,3.8,0.14,0.35,1.5,40.1,,FWMF,ca9b48af
2,Sammie Szmodics,0.6,1.4,3.3,0.19,0.46,0.4,0.4,2023-2024,27,ie IRL,Blackburn Rovers,eng Championship,44,3899,43.3,44,0,0,0.6,0.1,0.7,0.6,0.0,0.0,0.0,0.4,0.4,0.0,3.3,0.19,0.46,1.4,41.3,,MFFW,39944392
3,Matt Smith,0.6,1.4,3.1,0.20,0.43,0.1,0.1,2023-2024,34,eng ENG,Salford City FC,eng League Two,46,3543,39.4,39,7,0,0.6,0.1,0.7,0.6,0.0,0.0,0.0,0.1,0.1,0.0,3.1,0.20,0.43,1.4,45.5,,FW,2d44ca9b
4,Alfie May,0.6,1.4,3.7,0.12,0.32,0.4,0.1,2023-2024,30,eng ENG,Charlton Athletic,eng League One,43,3461,38.5,40,3,0,0.6,0.0,0.6,0.4,0.2,0.2,0.0,0.4,0.1,0.0,3.7,0.12,0.32,1.4,36.8,,FWMF,992453d1
5,Davis Keillor-Dunn,0.6,1.8,4.3,0.13,0.33,0.9,0.6,2023-2024,25,eng ENG,Mansfield Town,eng League Two,46,3388,37.6,40,6,0,0.6,0.2,0.8,0.6,0.0,0.0,0.0,0.9,0.6,0.0,4.3,0.13,0.33,1.8,41.1,,MFFW,41d05caa
6,Kévin Denkey,0.7,1.5,4.2,0.15,0.43,0.4,0.1,2023-2024,22,tg TOG,Cercle Brugge,be Belgian Pro League,38,3386,37.6,38,0,0,0.7,0.0,0.7,0.6,0.1,0.1,0.0,0.4,0.1,0.0,4.2,0.15,0.43,1.5,35.4,,FW,0d3585b5
7,Martin Braithwaite,0.6,1.2,3.0,0.14,0.35,0.3,0.1,2023-2024,32,dk DEN,Espanyol,es Segunda División,39,3335,37.1,37,2,0,0.6,0.1,0.6,0.4,0.2,0.2,0.0,0.3,0.1,0.0,3.0,0.14,0.35,1.2,39.1,,FW,fd771f95
8,Henk Veerman,0.6,1.4,3.0,0.18,0.40,0.2,0.1,2023-2024,30,nl NED,ADO Den Haag,nl Eerste Divisie,38,3323,36.9,37,1,0,0.6,0.1,0.7,0.5,0.1,0.1,0.0,0.2,0.1,0.0,3.0,0.18,0.40,1.4,45.5,,FW,e1a1b481
9,Lawrence Shankland,0.7,1.4,3.8,0.15,0.42,0.3,0.1,2023-2024,27,sct SCO,Hearts,sct Scottish Premiership,37,3259,36.2,36,1,0,0.7,0.1,0.8,0.6,0.1,0.2,0.1,0.3,0.1,0.0,3.8,0.15,0.42,1.4,36.8,,FW,63b1a176
10,Alexandre Mendy,0.6,1.3,2.8,0.17,0.36,0.1,0.2,2023-2024,29,gw GNB,Caen,fr Ligue 2,37,3229,35.9,37,0,0,0.6,0.0,0.6,0.5,0.1,0.1,0.0,0.1,0.2,0.0,2.8,0.17,0.36,1.3,47.5,,FW,e067808c
11,Paul Mullin,0.7,1.6,3.4,0.18,0.38,0.5,0.2,2023-2024,28,eng ENG,Wrexham,eng League Two,38,3001,33.3,34,4,1,0.7,0.2,0.9,0.6,0.1,0.1,0.0,0.5,0.2,0.0,3.4,0.18,0.38,1.6,47.3,,FW,e7ef2c4e
12,Vangelis Pavlidis,0.9,1.9,3.6,0.23,0.45,0.6,0.1,2023-2024,24,gr GRE,AZ Alkmaar,nl Eredivisie,34,2995,33.3,34,0,0,0.9,0.1,1.0,0.8,0.0,0.0,0.0,0.6,0.1,0.0,3.6,0.23,0.45,1.9,51.2,,FW,d578db11
13,Milan Smit,0.6,1.3,2.7,0.12,0.26,0.8,0.3,2023-2024,20,nl NED,Cambuur,nl Eerste Divisie,36,2976,33.1,34,2,0,0.6,0.2,0.7,0.3,0.2,0.2,0.0,0.8,0.3,0.0,2.7,0.12,0.26,1.3,47.8,,FWMF,a61ff812
14,Anders Dreyer,0.6,1.3,2.9,0.17,0.37,0.4,0.3,2023-2024,25,dk DEN,Anderlecht,be Belgian Pro League,37,2972,33.0,35,2,0,0.6,0.3,0.8,0.5,0.1,0.1,0.0,0.4,0.3,0.0,2.9,0.17,0.37,1.3,45.3,,FWMF,c6486b01
15,Viktor Gyökeres,0.9,1.8,3.5,0.21,0.41,0.3,0.2,2023-2024,25,se SWE,Sporting CP,pt Primeira Liga,33,2913,32.4,32,1,1,0.9,0.3,1.2,0.7,0.2,0.2,0.0,0.3,0.2,0.0,3.5,0.21,0.41,1.8,51.3,,FW,4d5a9185
16,Phil Foden,0.6,1.5,3.3,0.18,0.40,0.6,0.4,2023-2024,23,eng ENG,Manchester City,eng Premier League,35,2857,31.7,33,2,2,0.6,0.3,0.9,0.6,0.0,0.0,0.0,0.6,0.4,0.0,3.3,0.18,0.40,1.5,45.7,,MF,ed1e53f3
17,Mauro Icardi,0.8,1.6,3.5,0.17,0.38,0.1,0.1,2023-2024,30,ar ARG,Galatasaray,tr Süper Lig,34,2855,31.7,31,3,0,0.8,0.3,1.0,0.6,0.2,0.2,0.0,0.1,0.1,0.0,3.5,0.17,0.38,1.6,44.6,,FW,43b78598
18,Isaac Olaofe,0.6,1.0,2.2,0.29,0.61,0.5,0.1,2023-2024,23,eng ENG,Stockport,eng League Two,43,2845,31.6,34,9,0,0.6,0.1,0.7,0.6,0.0,0.0,0.0,0.5,0.1,0.0,2.2,0.29,0.61,1.0,48.5,,FW,2f4fb18c
19,Harry Kane,1.1,2.1,4.6,0.21,0.46,0.3,0.3,2023-2024,30,eng ENG,Bayern Munich,de Bundesliga,32,2839,31.5,32,0,0,1.1,0.3,1.4,1.0,0.2,0.2,0.0,0.3,0.3,0.0,4.6,0.21,0.46,2.1,45.9,,FW,21a66f6a
20,Philip Otele,0.6,1.6,3.2,0.18,0.37,0.7,0.6,2023-2024,24,ng NGA,CFR Cluj,ro Liga I,40,2838,31.5,32,8,0,0.6,0.3,0.8,0.6,0.0,0.0,0.0,0.7,0.6,0.0,3.2,0.18,0.37,1.6,49.0,,FWMF,d3655d19
21,Peque,0.6,1.1,2.2,0.14,0.28,1.1,0.3,2023-2024,20,es ESP,Racing Sant,es Segunda División,40,2834,31.5,34,6,1,0.6,0.1,0.7,0.3,0.3,0.3,0.0,1.1,0.3,0.0,2.2,0.14,0.28,1.1,52.2,,MF,cb971b4f
22,Gennaro Tutino,0.6,1.3,2.9,0.18,0.41,0.1,0.0,2023-2024,26,it ITA,Cosenza,it Serie B,35,2790,31.0,33,2,0,0.6,0.1,0.7,0.5,0.1,0.2,0.0,0.1,0.0,0.0,2.9,0.18,0.41,1.3,42.9,,FWMF,8b303bcb
23,Luuk de Jong,0.9,2.1,4.7,0.16,0.37,0.5,0.1,2023-2024,32,nl NED,PSV,nl Eredivisie,34,2754,30.6,34,0,0,0.9,0.5,1.4,0.8,0.2,0.3,0.1,0.5,0.1,0.0,4.7,0.16,0.37,2.1,43.4,,FW,abb3bb95
24,Robert Lewandowski,0.6,1.4,3.0,0.16,0.35,0.1,0.3,2023-2024,34,pl POL,Barcelona,es La Liga,35,2750,30.6,32,3,0,0.6,0.3,0.9,0.5,0.1,0.1,0.0,0.1,0.3,0.0,3.0,0.16,0.35,1.4,46.2,,FW,8d78e732
25,Edin Džeko,0.7,2.1,4.9,0.13,0.30,0.4,0.1,2023-2024,37,ba BIH,Fenerbahçe,tr Süper Lig,36,2716,30.2,34,2,1,0.7,0.1,0.8,0.6,0.1,0.1,0.0,0.4,0.1,0.0,4.9,0.13,0.30,2.1,43.5,,FW,3bb7f478
26,Joel Pohjanpalo,0.7,1.4,3.2,0.19,0.43,0.2,0.1,2023-2024,28,fi FIN,Venezia,it Serie B,33,2702,30.0,32,1,0,0.7,0.1,0.9,0.6,0.1,0.2,0.0,0.2,0.1,0.0,3.2,0.19,0.43,1.4,44.2,,FW,ea003d07
27,Loïs Openda,0.8,2.1,4.0,0.18,0.35,0.1,0.1,2023-2024,23,be BEL,RB Leipzig,de Bundesliga,34,2697,30.0,33,1,0,0.8,0.2,1.0,0.7,0.1,0.1,0.0,0.1,0.1,0.0,4.0,0.18,0.35,2.1,51.2,,FW,8652a85c
28,Krzysztof Piątek,0.6,1.5,3.4,0.13,0.30,0.3,0.2,2023-2024,28,pl POL,Başakşehir,tr Süper Lig,34,2694,29.9,32,2,1,0.6,0.0,0.6,0.4,0.1,0.2,0.0,0.3,0.2,0.0,3.4,0.13,0.30,1.5,43.6,,FW,17f3620a
29,Fashion Sakala,0.6,1.4,3.5,0.16,0.40,0.4,0.2,2023-2024,26,zm ZAM,Al-Fayha,sa Saudi Pro League,31,2691,29.9,30,1,0,0.6,0.2,0.8,0.6,0.1,0.1,0.0,0.4,0.2,0.0,3.5,0.16,0.40,1.4,40.0,,FWMF,be6a794c
30,Lautaro Martínez,0.8,1.6,3.7,0.20,0.47,0.5,0.6,2023-2024,25,ar ARG,Inter,it Serie A,33,2656,29.5,31,2,2,0.8,0.1,0.9,0.7,0.1,0.1,0.0,0.5,0.6,0.0,3.7,0.20,0.47,1.6,43.1,,FW,f7036e1c
31,Cristiano Ronaldo,1.2,2.4,6.2,0.15,0.38,0.2,0.0,2023-2024,38,pt POR,Al-Nassr,sa Saudi Pro League,31,2645,29.4,30,1,0,1.2,0.4,1.6,0.9,0.3,0.3,0.0,0.2,0.0,0.0,6.2,0.15,0.38,2.4,39.8,,FW,dea698d9
