,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Gls/90,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls/90,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
1,Paulinho,1.0,2.1,4.1,0.25,0.48,1.0,0.1,2023-2024,30,pt POR,Sporting CP,pt Primeira Liga,31,1306,14.5,11,20,1,1.0,0.3,1.4,1.0,0.0,0.0,0.0,1.0,0.1,0.0,4.1,0.25,0.48,2.1,52.5,,FW,a62c16d0
2,Luuk de Jong,0.9,2.1,4.7,0.16,0.37,0.5,0.1,2023-2024,32,nl NED,PSV,nl Eredivisie,34,2754,30.6,34,0,0,0.9,0.5,1.4,0.8,0.2,0.3,0.1,0.5,0.1,0.0,4.7,0.16,0.37,2.1,43.4,,FW,abb3bb95
3,Simon Banza,0.9,1.9,3.9,0.21,0.43,0.3,0.4,2023-2024,26,cd COD,Braga,pt Primeira Liga,28,1999,22.2,23,5,0,0.9,0.2,1.1,0.8,0.1,0.1,0.0,0.3,0.4,0.0,3.9,0.21,0.43,1.9,48.3,,FW,be47b750
4,Jamie Vardy,0.9,1.6,3.0,0.24,0.45,0.2,0.1,2023-2024,36,eng ENG,Leicester City,eng Championship,35,1768,19.6,18,17,2,0.9,0.1,1.0,0.7,0.2,0.3,0.1,0.2,0.1,0.0,3.0,0.24,0.45,1.6,53.4,,FW,45963054
5,Viktor Gyökeres,0.9,1.8,3.5,0.21,0.41,0.3,0.2,2023-2024,25,se SWE,Sporting CP,pt Primeira Liga,33,2913,32.4,32,1,1,0.9,0.3,1.2,0.7,0.2,0.2,0.0,0.3,0.2,0.0,3.5,0.21,0.41,1.8,51.3,,FW,4d5a9185
6,Santiago Giménez,0.9,2.0,4.1,0.19,0.40,0.2,0.0,2023-2024,22,mx MEX,Feyenoord,nl Eredivisie,30,2370,26.3,29,1,1,0.9,0.2,1.1,0.8,0.1,0.2,0.1,0.2,0.0,0.0,4.1,0.19,0.40,2.0,49.1,,FW,37337aea
7,Christos Tzolis,0.8,1.4,3.5,0.18,0.47,0.5,0.2,2023-2024,21,gr GRE,Düsseldorf,de 2. Bundesliga,30,2367,26.3,28,2,1,0.8,0.2,1.1,0.6,0.2,0.2,0.0,0.5,0.2,0.0,3.5,0.18,0.47,1.4,39.1,,MFFW,9f333379
8,Vangelis Pavlidis,0.8,1.8,3.6,0.21,0.42,0.5,0.1,2023-2024,24,gr GRE,AZ Alkmaar,2 Comps,40,3535,39.3,40,0,0,0.8,0.1,0.9,0.8,0.1,0.1,0.0,0.5,0.1,0.0,3.6,0.21,0.42,1.8,50.4,,FW,d578db11
9,Budu Zivzivadze,0.8,2.0,4.5,0.18,0.41,0.9,0.3,2023-2024,29,ge GEO,Karlsruher,de 2. Bundesliga,30,1336,14.8,13,17,2,0.8,0.1,0.9,0.8,0.0,0.0,0.0,0.9,0.3,0.0,4.5,0.18,0.41,2.0,43.3,,FW,e3a72b89
10,Ragnar Ache,0.8,2.0,4.4,0.18,0.41,0.2,0.1,2023-2024,25,de GER,Kaiserslautern,de 2. Bundesliga,26,1783,19.8,22,4,0,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.2,0.1,0.0,4.4,0.18,0.41,2.0,44.8,,FW,dc38e3bc
11,Matias Fernandez-Pardo,0.8,1.6,2.7,0.30,0.50,0.3,0.0,2023-2024,18,be BEL,Gent,2 Comps,17,903,10.0,10,7,7,0.8,0.2,1.0,0.8,0.0,0.0,0.0,0.3,0.0,0.0,2.7,0.30,0.50,1.6,59.3,,FW,0cdb6a2a
12,Chuba Akpom,0.8,1.7,3.2,0.24,0.48,0.6,0.1,2023-2024,27,eng ENG,2 Teams,3 Comps,29,1252,13.9,9,20,5,0.8,0.2,1.0,0.8,0.0,0.0,0.0,0.6,0.1,0.0,3.2,0.24,0.48,1.7,51.1,,FWMF,e2b384d2
13,Cedric Teuchert,0.8,1.7,3.7,0.10,0.21,0.4,0.1,2023-2024,26,de GER,Hannover 96,de 2. Bundesliga,27,1266,14.1,12,15,2,0.8,0.1,0.9,0.4,0.4,0.4,0.0,0.4,0.1,0.0,3.7,0.10,0.21,1.7,46.2,,FWMF,f956479d
14,Josh Sargent,0.8,1.6,3.3,0.24,0.50,0.2,0.3,2023-2024,23,us USA,Norwich City,eng Championship,26,1850,20.6,24,2,0,0.8,0.1,0.9,0.8,0.0,0.0,0.0,0.2,0.3,0.0,3.3,0.24,0.50,1.6,47.8,,FW,a8d4428b
15,Haris Tabakovic,0.8,1.7,3.3,0.19,0.38,0.2,0.1,2023-2024,29,ba BIH,Hertha BSC,de 2. Bundesliga,32,2560,28.4,29,3,0,0.8,0.2,1.0,0.6,0.1,0.2,0.0,0.2,0.1,0.0,3.3,0.19,0.38,1.7,51.1,,FW,723b19c7
16,Ricky van Wolfswinkel,0.8,1.3,2.9,0.23,0.50,0.7,0.4,2023-2024,34,nl NED,Twente,nl Eredivisie,32,1886,21.0,17,15,0,0.8,0.0,0.8,0.7,0.1,0.1,0.0,0.7,0.4,0.0,2.9,0.23,0.50,1.3,46.7,,FWMF,dbe16ade
17,Robert Glatzel,0.7,1.6,3.6,0.19,0.42,0.3,0.1,2023-2024,29,de GER,Hamburger SV,de 2. Bundesliga,32,2642,29.4,30,2,0,0.7,0.1,0.9,0.7,0.1,0.1,0.0,0.3,0.1,0.0,3.6,0.19,0.42,1.6,45.7,,FW,18a9efe4
18,Samuel Ntamack,0.7,1.6,3.1,0.16,0.30,0.2,0.3,2023-2024,22,fr FRA,Annecy FC,fr Ligue 2,32,1105,12.3,10,22,2,0.7,0.1,0.8,0.5,0.2,0.2,0.0,0.2,0.3,0.0,3.1,0.16,0.30,1.6,52.6,,FW,1504e009
19,Joel Pohjanpalo,0.7,1.4,3.2,0.19,0.43,0.2,0.1,2023-2024,28,fi FIN,Venezia,it Serie B,33,2702,30.0,32,1,0,0.7,0.1,0.9,0.6,0.1,0.2,0.0,0.2,0.1,0.0,3.2,0.19,0.43,1.4,44.2,,FW,ea003d07
20,Can Uzun,0.7,1.5,3.2,0.18,0.39,0.6,0.1,2023-2024,17,tr TUR,Nürnberg,de 2. Bundesliga,30,1992,22.1,25,5,0,0.7,0.1,0.8,0.6,0.1,0.2,0.1,0.6,0.1,0.0,3.2,0.18,0.39,1.5,46.5,,MFFW,1d0b134a
21,André-Pierre Gignac,0.7,1.4,3.3,0.17,0.39,0.3,0.2,2023-2024,37,fr FRA,UANL,mx Liga MX,25,1763,19.6,21,4,1,0.7,0.3,1.0,0.6,0.2,0.2,0.0,0.3,0.2,0.0,3.3,0.17,0.39,1.4,43.8,,FW,585e1b85
22,Rafa Mújica,0.7,1.9,4.2,0.17,0.38,0.5,0.2,2023-2024,24,es ESP,Arouca,pt Primeira Liga,30,2529,28.1,29,1,0,0.7,0.1,0.8,0.7,0.0,0.0,0.0,0.5,0.2,0.0,4.2,0.17,0.38,1.9,44.9,,FW,04a67d5b
23,Ado Onaiwu,0.7,1.0,2.8,0.23,0.67,0.4,0.3,2023-2024,27,jp JPN,Auxerre,fr Ligue 2,34,1901,21.1,20,14,0,0.7,0.0,0.8,0.7,0.0,0.0,0.0,0.4,0.3,0.0,2.8,0.23,0.67,1.0,35.0,,MFFW,ff4df82e
24,Harold Preciado,0.7,1.4,3.3,0.14,0.33,0.2,0.0,2023-2024,29,co COL,Santos Laguna,mx Liga MX,23,1914,21.3,23,0,0,0.7,0.0,0.8,0.5,0.2,0.3,0.0,0.2,0.0,0.0,3.3,0.14,0.33,1.4,42.9,,FW,5300af73
25,Jizz Hornkamp,0.7,1.4,3.0,0.16,0.35,0.5,0.2,2023-2024,25,nl NED,Heracles Almelo,nl Eredivisie,17,1287,14.3,15,2,0,0.7,0.1,0.8,0.5,0.2,0.2,0.0,0.5,0.2,0.0,3.0,0.16,0.35,1.4,46.5,,FW,862a72ea
26,Kévin Denkey,0.7,1.5,4.2,0.15,0.43,0.4,0.1,2023-2024,22,tg TOG,Cercle Brugge,be Belgian Pro League,38,3386,37.6,38,0,0,0.7,0.0,0.7,0.6,0.1,0.1,0.0,0.4,0.1,0.0,4.2,0.15,0.43,1.5,35.4,,FW,0d3585b5
27,Emmanuel Latte Lath,0.7,1.8,3.1,0.22,0.38,0.7,0.3,2023-2024,24,ci CIV,Middlesbrough,eng Championship,30,2091,23.2,23,7,3,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.7,0.3,0.0,3.1,0.22,0.38,1.8,57.5,,FW,1c9cfad4
28,Luis Vázquez,0.7,1.9,4.2,0.14,0.30,0.5,0.2,2023-2024,22,ar ARG,Anderlecht,be Belgian Pro League,38,925,10.3,4,34,1,0.7,0.1,0.8,0.6,0.1,0.1,0.0,0.5,0.2,0.0,4.2,0.14,0.30,1.9,46.5,,FW,22810a82
29,Nicolás Ibáñez,0.7,1.7,3.3,0.17,0.33,0.4,0.2,2023-2024,28,ar ARG,UANL,mx Liga MX,31,1456,16.2,13,18,2,0.7,0.3,1.0,0.6,0.1,0.2,0.1,0.4,0.2,0.0,3.3,0.17,0.33,1.7,50.9,,FW,0cab947b
30,Jon Bautista,0.7,1.5,3.3,0.20,0.45,0.8,0.2,2023-2024,28,es ESP,Eibar,es Segunda División,34,2297,25.5,27,7,4,0.7,0.1,0.7,0.7,0.0,0.0,0.0,0.8,0.2,0.0,3.3,0.20,0.45,1.5,44.7,,FW,debc6b55
31,Mohamed Amoura,0.7,1.8,4.2,0.15,0.35,0.6,0.2,2023-2024,23,dz ALG,Union SG,2 Comps,35,2463,27.4,28,7,1,0.7,0.2,0.9,0.6,0.0,0.0,0.0,0.6,0.2,0.0,4.2,0.15,0.35,1.8,41.4,,FW,6597f8b6
