,,,,,,,,,,,,,,,,,,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,,Per 90,Per 90,Per 90,Per 90,Per 90,Per 90,,-additional
,,,,,,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,,,Standard,Standard,Standard,Standard,Standard,Standard,,-9999
Rk,Player,Min,SoT/90,Sh/90,G/Sh,G/SoT,TklW/90,Int/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,TklW/90,Int/90,Tkl+Int,Sh/90,G/Sh,G/SoT,SoT/90,SoT%,FK,Pos,-9999
1,James Wilson,4140,0.1,0.3,0.14,0.40,1.3,1.9,2024-2025,35,wls WAL,Bristol Rovers,eng League One,46,4140,46.0,46,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.3,1.9,0.0,0.3,0.14,0.40,0.1,35.7,,DF,77621175
2,Sean Roughan,4140,0.1,0.4,0.06,0.17,1.0,1.0,2024-2025,20,ie IRL,Lincoln City,eng League One,46,4140,46.0,46,0,0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.06,0.17,0.1,33.3,,DF,a8100b7e
3,Zak Vyner,4140,0.0,0.3,0.07,1.00,1.1,0.9,2024-2025,27,ke KEN,Bristol City,eng Championship,46,4140,46.0,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.9,0.0,0.3,0.07,1.00,0.0,6.7,,DF,a8fe5a96
4,Jason Knight,4140,0.2,1.1,0.06,0.33,0.9,1.0,2024-2025,23,ie IRL,Bristol City,eng Championship,46,4140,46.0,46,0,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.9,1.0,0.0,1.1,0.06,0.33,0.2,18.4,,MF,b83ec960
5,Lewis Wing,4140,0.5,2.0,0.10,0.38,1.8,1.0,2024-2025,29,eng ENG,Reading,eng League One,46,4140,46.0,46,0,0,0.2,0.2,0.3,0.2,0.0,0.0,0.0,1.8,1.0,0.0,2.0,0.10,0.38,0.5,26.1,,MF,c2cba4c3
6,Dominic Hyam,4140,0.1,0.5,0.10,0.67,0.6,0.6,2024-2025,28,sct SCO,Blackburn Rovers,eng Championship,46,4140,46.0,46,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.5,0.10,0.67,0.1,14.3,,DF,ce95958a
7,Joe Rodon,4135,0.0,0.5,0.05,0.50,0.5,0.7,2024-2025,26,wls WAL,Leeds United,eng Championship,46,4135,45.9,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.0,0.5,0.05,0.50,0.0,9.5,,DF,8d62d31a
8,Owen Bailey,4123,0.3,1.2,0.09,0.36,0.9,0.8,2024-2025,25,eng ENG,Doncaster Rovers,eng League Two,46,4123,45.8,46,0,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.9,0.8,0.0,1.2,0.09,0.36,0.3,26.4,,MFDF,dee69b15
9,Josh Neufville,4059,0.3,0.8,0.11,0.33,1.1,0.7,2024-2025,24,eng ENG,AFC Wimbledon,eng League Two,46,4059,45.1,46,0,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,1.1,0.7,0.0,0.8,0.11,0.33,0.3,31.6,,MF,3ea4f2f3
10,Will Wright,4057,0.3,0.8,0.16,0.40,0.8,1.0,2024-2025,27,eng ENG,Swindon Town,eng League Two,46,4057,45.1,45,1,0,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.8,1.0,0.0,0.8,0.16,0.40,0.3,39.5,,DF,23c09e2b
11,Maxime Estève,4055,0.0,0.2,0.14,1.00,0.6,0.9,2024-2025,22,fr FRA,Burnley,eng Championship,46,4055,45.1,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.2,0.14,1.00,0.0,14.3,,DF,1a066e69
12,Jimmy Dunne,4050,0.4,1.2,0.09,0.26,1.6,1.0,2024-2025,26,ie IRL,Queens Park Rangers,eng Championship,45,4050,45.0,45,0,0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,1.6,1.0,0.0,1.2,0.09,0.26,0.4,34.5,,DF,1fdfd6da
13,Paul Nardi,4050,0.0,0.0,0.00,0.00,0.0,0.0,2024-2025,30,fr FRA,Queens Park Rangers,eng Championship,45,4050,45.0,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,100.0,,GK,2d70dbe5
14,Anthony O'Connor,4050,0.1,0.5,0.04,0.20,0.8,1.4,2024-2025,31,ie IRL,Harrogate Town FC,eng League Two,45,4050,45.0,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,0.0,0.5,0.04,0.20,0.1,21.7,,DF,d2d32944
15,Matthew Platt,4050,0.2,0.4,0.11,0.29,1.0,0.8,2024-2025,26,eng ENG,Notts County,eng League Two,45,4050,45.0,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.4,0.11,0.29,0.2,36.8,,DF,d3504afe
16,Shane Duffy,4040,0.2,0.8,0.11,0.44,0.4,0.7,2024-2025,32,ie IRL,Norwich City,eng Championship,45,4040,44.9,45,0,1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.4,0.7,0.0,0.8,0.11,0.44,0.2,25.0,,DF,7314bba4
17,Ben Cabango,4032,0.1,0.5,0.09,0.40,1.3,0.9,2024-2025,24,wls WAL,Swansea City,eng Championship,45,4032,44.8,45,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.3,0.9,0.0,0.5,0.09,0.40,0.1,21.7,,DF,70723cac
18,Connor Ogilvie,4028,0.2,0.9,0.10,0.44,0.6,1.4,2024-2025,28,eng ENG,Portsmouth,eng Championship,45,4028,44.8,45,0,0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.6,1.4,0.0,0.9,0.10,0.44,0.2,23.1,,DF,c096c77f
19,Milan van Ewijk,4010,0.2,0.7,0.07,0.25,1.6,1.3,2024-2025,23,nl NED,Coventry City,eng Championship,45,4010,44.6,45,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.6,1.3,0.0,0.7,0.07,0.25,0.2,27.6,,DFMF,58448fbb
20,Torbjørn Heggem,4010,0.1,0.6,0.04,0.17,1.1,0.7,2024-2025,25,no NOR,West Bromwich Albion,eng Championship,45,4010,44.6,45,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.1,0.7,0.0,0.6,0.04,0.17,0.1,23.1,,DF,834fea76
21,Alistair Smith,4006,0.5,1.4,0.10,0.29,1.1,0.7,2024-2025,30,sct SCO,AFC Wimbledon,eng League Two,45,4006,44.5,45,0,0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,1.1,0.7,0.0,1.4,0.10,0.29,0.5,33.9,,MF,0eae7a49
22,Matt Grimes,3976,0.2,0.6,0.11,0.33,1.0,0.8,2024-2025,29,eng ENG,2 Teams,eng Championship,45,3976,44.2,44,1,0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.8,0.0,0.6,0.11,0.33,0.2,32.1,,MF,81a487b9
23,Joe Powell,3964,0.2,1.4,0.02,0.09,1.0,1.0,2024-2025,25,eng ENG,Rotherham United,eng League One,46,3964,44.0,44,2,0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4,0.02,0.09,0.2,17.7,,MF,a0961a90
