iter	RMSE
0	1.303281594
1	1.292133892
2	1.281726346
3	1.271626225
4	1.262513964
5	1.252916948
6	1.243449614
7	1.234917431
8	1.226683263
9	1.219418085
10	1.212105356
11	1.205306099
12	1.198918713
13	1.192555253
14	1.18636865
15	1.18066219
16	1.175490887
17	1.170051657
18	1.164685325
19	1.159425804
20	1.154746062
21	1.150566413
22	1.145863227
23	1.141868222
24	1.137725793
25	1.133966993
26	1.130649948
27	1.127369297
28	1.124025867
29	1.12046612
30	1.117607507
31	1.114606565
32	1.111604732
33	1.10922409
34	1.106369582
35	1.103803194
36	1.101242256
37	1.098838608
38	1.096559444
39	1.094171686
40	1.091896209
41	1.089823126
42	1.087741989
43	1.085719318
44	1.08355579
45	1.081776404
46	1.079792154
47	1.077772594
48	1.075829635
49	1.073895183
50	1.072356807
51	1.070586713
52	1.068987368
53	1.067485234
54	1.065759966
55	1.064238407
56	1.062970497
57	1.061738183
58	1.060265537
59	1.058842427
60	1.05755498
61	1.056368137
62	1.055081574
63	1.053744687
64	1.05251378
65	1.051479803
66	1.050374451
67	1.049178481
68	1.047962861
69	1.047028816
70	1.046057472
71	1.044737082
72	1.043528199
73	1.042539509
74	1.041277418
75	1.040370239
76	1.039212256
77	1.038369875
78	1.037001408
79	1.036287628
80	1.035211209
81	1.03413121
82	1.033344786
83	1.032198823
84	1.031091555
85	1.030211689
86	1.02945816
87	1.028308375
88	1.027485614
89	1.026463373
90	1.025778168
91	1.02520934
92	1.024431269
93	1.023731583
94	1.022735566
95	1.021893234
96	1.021153442
97	1.020535192
98	1.019417208
99	1.018771557
100	1.017956149
101	1.01712409
102	1.016392917
103	1.015665966
104	1.014792659
105	1.014202838
106	1.013508511
107	1.012753171
108	1.012154957
109	1.011449169
110	1.010726633
111	1.009974631
112	1.009378989
113	1.008848229
114	1.008203306
115	1.007737948
116	1.007089937
117	1.006365472
118	1.005691333
119	1.005033896
120	1.004490669
121	1.003897094
122	1.003371291
123	1.002738485
124	1.002128318
125	1.00161346
126	1.000890468
127	1.000289791
128	0.9997761009
129	0.9992468346
130	0.9985094081
131	0.9978605089
132	0.9972053623
133	0.9964603802
134	0.9957955434
135	0.9952132658
136	0.994648292
137	0.9940580706
138	0.9933035826
139	0.9926771744
140	0.9920252775
141	0.9915378141
142	0.9911000508
143	0.990597677
144	0.9900885804
145	0.9897715263
146	0.9891334599
147	0.9885053591
148	0.9881171615
149	0.9875086871
150	0.9870272481
151	0.9865363501
152	0.9860432813
153	0.9854708844
154	0.9848793709
155	0.9844683015
156	0.9840271794
157	0.9833019684
158	0.982790418
159	0.9823240961
160	0.9817916723
161	0.9811723579
162	0.9807526825
163	0.9802019082
164	0.979842481
165	0.9793853353
166	0.9788892687
167	0.9783324495
168	0.9778107644
169	0.9773932526
170	0.9768676737
171	0.9762595124
172	0.9759039755
173	0.9756153916
174	0.9750889213
175	0.9745006575
176	0.9739129639
177	0.9733551504
178	0.9727842411
179	0.9723493909
180	0.9720114412
181	0.9715356965
182	0.9711880562
183	0.9707234839
184	0.970343415
185	0.9698571032
186	0.969489771
187	0.9690932308
188	0.9687319458
189	0.9683024
190	0.96794529
191	0.9675691821
192	0.9671896183
193	0.9667845906
194	0.9663096367
195	0.9658240003
196	0.9654768153
197	0.9651865781
198	0.9645172665
199	0.9640675446
200	0.96376209
201	0.9633861337
202	0.9630143169
203	0.9625243605
204	0.9619833763
205	0.9615967274
206	0.961212386
207	0.9608341264
208	0.96037051
209	0.9600113565
210	0.9595552856
211	0.9592413122
212	0.9588104061
213	0.9584104735
214	0.9579215981
215	0.9575570649
216	0.9571502668
217	0.9569425273
218	0.9565707236
219	0.9561874397
220	0.9559031941
221	0.9555171505
222	0.955035032
223	0.9546442992
224	0.9542102597
225	0.9538867553
226	0.9535392331
227	0.9529844252
228	0.9525204085
229	0.9520317765
230	0.9516194246
231	0.9511815748
232	0.9509094524
233	0.9506160418
234	0.9501109542
235	0.9496669692
236	0.9492225641
237	0.9488608284
238	0.9485904314
239	0.948172076
240	0.9478135281
241	0.9475093891
242	0.947143332
243	0.9467881255
244	0.9464079765
245	0.9459805996
246	0.9455120901
247	0.9450839417
248	0.9447104918
249	0.9443275652
250	0.9439915486
251	0.9436379154
252	0.9433228544
253	0.9428663738
254	0.9424839249
255	0.9421256891
256	0.9417634794
257	0.9413725469
258	0.9409676972
259	0.9407031449
260	0.9403747853
261	0.9400881739
262	0.9396412271
263	0.9393164089
264	0.9389236142
265	0.9386115265
266	0.9383868155
267	0.9379212683
268	0.9374934898
269	0.9369901535
270	0.9367310563
271	0.9364016651
272	0.9359368752
273	0.9354835811
274	0.9349755932
275	0.9346102691
276	0.934146285
277	0.9337859977
278	0.9333612349
279	0.9329636315
280	0.9325600627
281	0.9321075382
282	0.9317691981
283	0.9314688783
284	0.9311199075
285	0.9306924153
286	0.9304533692
287	0.9300522913
288	0.9297175921
289	0.9293055586
290	0.9290110288
291	0.9285648547
292	0.9280967078
293	0.9276328277
294	0.9273089023
295	0.9269628713
296	0.9264256435
297	0.9259284425
298	0.9255297315
299	0.9250707753
300	0.9246833619
301	0.9242573058
302	0.9237708965
303	0.9233169055
304	0.9228897462
305	0.9224264692
306	0.9219855086
307	0.9215355876
308	0.9210772031
309	0.9208575721
310	0.920437925
311	0.9199805959
312	0.9196789334
313	0.9192833912
314	0.9188841017
315	0.9184686141
316	0.9180123321
317	0.9175739723
318	0.9171269833
319	0.9168058502
320	0.9164006909
321	0.9159608751
322	0.9155914426
323	0.9151774056
324	0.9147898444
325	0.9143438963
326	0.9139209916
327	0.9135937263
328	0.9131706727
329	0.9128058679
330	0.912425157
331	0.9119635091
332	0.9115127144
333	0.9111473394
334	0.9107745309
335	0.9103621128
336	0.9099571938
337	0.9095406863
338	0.9091100559
339	0.9086977367
340	0.9082963624
341	0.9078774427
342	0.9074321422
343	0.9070399485
344	0.9067143027
345	0.9062894664
346	0.9058882117
347	0.9054977214
348	0.9050803547
349	0.9046683209
350	0.9042879813
351	0.9038814299
352	0.9034743368
353	0.903092931
354	0.9026906049
355	0.9023419404
356	0.9019657921
357	0.901580293
358	0.9011919126
359	0.9008474117
360	0.9004759491
361	0.9001176098
362	0.899757825
363	0.899405039
364	0.8990285245
365	0.898680822
366	0.8983137691
367	0.8979288985
368	0.8975797228
369	0.8971622483
370	0.8968142538
371	0.8964423934
372	0.8960699852
373	0.8957184002
374	0.8953655064
375	0.8950191548
376	0.894677206
377	0.894314597
378	0.893960948
379	0.8936192882
380	0.8932691728
381	0.892903229
382	0.892559191
383	0.8922063978
384	0.8918484349
385	0.8915019172
386	0.8911742925
387	0.8908265309
388	0.8905184412
389	0.8902043319
390	0.8898813788
391	0.889547431
392	0.8891785336
393	0.888845791
394	0.8885267923
395	0.8882168245
396	0.8879277869
397	0.8876061338
398	0.8873204169
399	0.8869862837
400	0.8866733263
401	0.8863288402
402	0.8860215674
403	0.8856939448
404	0.8853471109
405	0.8850333237
406	0.8846791311
407	0.8843568722
408	0.8840767121
409	0.8837903053
410	0.8834773667
411	0.8831913847
412	0.8828741583
413	0.8826003333
414	0.8822449383
415	0.8819239033
416	0.881605513
417	0.8812830466
418	0.8810744074
419	0.8808498664
420	0.8805674173
421	0.8802444591
422	0.8799329997
423	0.879648226
424	0.8793343774
425	0.8790246641
426	0.8788264803
427	0.8785615788
428	0.8782621641
429	0.8779775734
430	0.8777057598
431	0.8774040738
432	0.8771230238
433	0.8768398728
434	0.8765352015
435	0.8762979895
436	0.8759455545
437	0.8756496266
438	0.8753542526
439	0.875050831
440	0.874769605
441	0.8744772571
442	0.8741673398
443	0.8738927049
444	0.873604173
445	0.873318278
446	0.8730407514
447	0.8728412523
448	0.8725674097
449	0.8722930062
450	0.8721209676
451	0.8718123555
452	0.8716573919
453	0.8713699568
454	0.8711095238
455	0.8707979661
456	0.8705306331
457	0.8702735447
458	0.8699842258
459	0.8697245166
460	0.8694253848
461	0.8690708572
462	0.8687839627
463	0.868537757
464	0.8682509919
465	0.867959073
466	0.8677266466
467	0.8674553274
468	0.8671836699
469	0.866912723
470	0.8666734443
471	0.8663612857
472	0.8660935527
473	0.8658221283
474	0.8655423335
475	0.8652706993
476	0.8650273911
477	0.8647581302
