iter	Passed	Remaining
0	25	17969
1	48	16936
2	70	16353
3	94	16408
4	115	16048
5	137	15902
6	161	15957
7	183	15843
8	206	15841
9	231	15982
10	253	15876
11	276	15850
12	298	15788
13	324	15889
14	342	15639
15	361	15464
16	381	15336
17	402	15258
18	422	15158
19	443	15082
20	513	16615
21	554	17102
22	596	17547
23	621	17503
24	695	18774
25	715	18559
26	736	18358
27	771	18527
28	795	18401
29	815	18220
30	836	18051
31	857	17897
32	879	17767
33	899	17623
34	922	17528
35	943	17395
36	964	17286
37	986	17181
38	1009	17109
39	1033	17047
40	1054	16950
41	1077	16873
42	1099	16801
43	1121	16721
44	1145	16671
45	1168	16613
46	1193	16579
47	1217	16542
48	1239	16471
49	1264	16438
50	1286	16377
51	1310	16328
52	1333	16275
53	1356	16228
54	1378	16168
55	1399	16099
56	1423	16063
57	1447	16017
58	1469	15965
59	1491	15909
60	1513	15857
61	1534	15793
62	1557	15752
63	1579	15696
64	1604	15670
65	1626	15626
66	1647	15564
67	1666	15487
68	1689	15447
69	1710	15394
70	1734	15364
71	1756	15323
72	1778	15277
73	1801	15235
74	1824	15200
75	1846	15158
76	1868	15121
77	1891	15083
78	1913	15042
79	1934	14990
80	1958	14965
81	1983	14945
82	1996	14839
83	2019	14810
84	2042	14777
85	2064	14736
86	2084	14690
87	2107	14659
88	2130	14626
89	2152	14589
90	2174	14552
91	2196	14515
92	2218	14482
93	2241	14449
94	2264	14419
95	2287	14389
96	2309	14360
97	2331	14322
98	2353	14284
99	2375	14251
100	2397	14220
101	2421	14196
102	2443	14163
103	2467	14138
104	2490	14110
105	2512	14081
106	2538	14066
107	2561	14038
108	2585	14018
109	2607	13984
110	2630	13957
111	2651	13918
112	2672	13885
113	2694	13853
114	2716	13819
115	2739	13791
116	2761	13759
117	2783	13730
118	2806	13699
119	2829	13674
120	2852	13648
121	2875	13621
122	2897	13590
123	2920	13567
124	2943	13539
125	2965	13508
126	2987	13477
127	3009	13447
128	3031	13418
129	3055	13395
130	3077	13368
131	3098	13332
132	3120	13303
133	3144	13283
134	3167	13256
135	3190	13232
136	3213	13206
137	3236	13179
138	3258	13150
139	3279	13116
140	3302	13092
141	3327	13076
142	3349	13047
143	3373	13024
144	3395	12994
145	3417	12966
146	3440	12943
