player_id,player_name,position_group,actual_value,predicted_value_mean,predicted_value_median,predicted_value_std
aaron anselmino__2005-04-29,Aaron Anselmino,DEF,5750000.000000005,10378481.664697794,9880270.495369159,1180180.622798283
aaron bouwman__2007-08-28,,,,2187264.658387292,2187264.658387292,87365.38813662935
aaron connolly__2000-01-28,,,,1803542.738068139,1803542.738068139,
aaron cresswell__1989-12-15,,,,738610.2314552481,738610.2314552481,19882.86960543971
aaron donnelly__2003-06-08,,,,590853.5068711565,590927.5454074701,52271.31704031152
aaron escandell__1995-09-27,,,,6811267.438308015,6506227.496469773,749716.7815909303
aaron hickey__2002-06-10,Aaron Hickey,DEF,11749999.999999994,9564147.778508525,9272846.021710958,666846.9541788362
aaron mceneff__1995-07-09,,,,268164.6847353058,265304.16802364076,13015.076127139771
aaron mcgowan__1996-07-24,,,,457503.50294572057,457503.50294572057,
aaron meijers__1987-10-28,,,,168131.90244330416,168521.1564272696,14468.722516666352
aaron nemane__1997-09-26,,,,351834.9374920426,369653.6198490895,34356.60565266399
aaron ramsdale__1998-05-14,,,,8207779.423944456,8207779.423944456,411098.52208138985
aaron ramsey__2003-01-21,Aaron Ramsey,MID,9299999.999999993,3322671.3192838845,3403712.076556623,223466.88002439638
aaron rowe__2000-09-07,,,,263882.00062919024,262083.1624584438,5009.50031434677
aaron wanbissaka__1997-11-26,Aaron Wan-Bissaka,DEF,18500000.000000034,18172972.541301,18132498.16846451,655555.77295833
aaron zehnter__2004-10-31,,,,6934255.240519929,7446094.273124262,1329682.4234230851
abakar sylla__2002-12-25,,,,3526987.5943768714,3580323.028208202,256884.24726852233
abbosbek fayzullaev__2003-10-03,,,,1047561.1195074819,1047561.1195074819,
abdallah sima__2001-06-17,,,,7055482.859984644,6983731.616730774,176931.42582194065
abdelhamid ait boudlal__2006-04-16,,,,3161810.005137516,3112493.7500118446,341200.9526927693
abdelhamid sabiri__1996-11-28,Abdelhamid Sabiri,MID,2649999.999999999,3944973.726302508,3935578.6610630467,291267.9436036884
abdelkahar kadri__2000-06-24,,,,5952287.065030706,5986283.616250052,220103.4791337948
abdellah baallal__2004-11-07,Abdellah Baallal,MID,299999.99999999977,452515.74377786793,443099.01708883315,17624.065766176904
abdellah zoubir__1991-12-05,,,,950198.8369117767,959183.972060325,134777.4329455368
abdenego nankishi__2002-07-06,,,,543145.4239161746,590796.8466945097,99096.5726135477
abdou harroui__1998-01-13,,,,2048521.3938141759,2048521.3938141759,
abdoul kader ouattara__2005-05-26,Abdoul Kader Ouattara,MID,950000.0000000008,810736.0890850994,803716.6082060991,78236.45547289777
abdoul ouattara__2005-10-22,,,,3935579.674463719,4086585.330021717,699301.3136114842
abdoulaye bamba__1990-04-25,Abdoulaye Bamba,DEF,337500.00000000006,388621.5868231727,389450.1497156971,17411.02063625314
abdoulaye camara__2006-12-21,,,,820986.2978950213,820986.2978950213,84055.91720614185
abdoulaye doucoure__1993-01-01,Abdoulaye Doucouré,MID,6650000.000000001,3600708.0272760973,3732509.648653239,281597.45276679855
abdoulaye faye__2004-09-22,,,,2359799.9908055575,2359799.9908055575,
abdoulaye kamara__2004-11-06,,,,771305.0582263721,778033.2190391169,52224.80309487146
abdoulaye ndiaye__2002-04-10,Abdoulaye Ndiaye,DEF,6499999.999999999,6443034.132380857,6416219.243899223,96020.61419035067
abdoulaye toure__1994-03-03,,,,3466065.9998691366,3462996.3693137425,349576.42671470065
abdoulie sanyang__1999-05-08,,,,1307286.6279584703,1307286.6279584703,26227.85733609236
abdoullah ba__2003-07-31,,,,858041.8054110598,858041.8054110598,27911.435640503678
abdukodir khusanov__2004-02-29,,,,30103868.56171567,30745469.57723753,3578959.9860006752
abdul fatawu__2004-03-08,,,,12755194.523250194,12755194.523250194,40113.38439112958
abdul mumin__1998-06-06,,,,11230762.104562875,10939732.727779007,848897.619765649
abdulkadir omur__1999-06-25,,,,2998019.5874843807,3139710.7586154053,741433.2552388913
abdulkerim bardakc__1994-09-07,Abdülkerim Bardakcı,DEF,13249999.99999999,12016960.99645476,12823877.499605954,1874345.8762055363
